seq,frame,coord_ 1,coord_ 2,coord_ 3,coord_ 4,coord_ 5,coord_ 6,coord_ 7,coord_ 8,coord_ 9,coord_10,coord_11,coord_12,coord_13,coord_14,coord_15,coord_16,coord_17,coord_18,coord_19,coord_20,class
5,000025.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
5,000025.jpg,,,,,,,,,,,,,,,,,,,,,background
6,000031.jpg,293.5986,51.47437,381.4138,245.1048,0.9928498,,,,,,,,,,,,,,,,grasper
6,000031.jpg,,,,,,,,,,,,,,,,,,,,,stapler
6,000031.jpg,,,,,,,,,,,,,,,,,,,,,needle
6,000031.jpg,,,,,,,,,,,,,,,,,,,,,holder
6,000031.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
6,000031.jpg,,,,,,,,,,,,,,,,,,,,,background
7,000037.jpg,316.8738,146.5806,416.5992,346.6447,0.9999653,,,,,,,,,,,,,,,,grasper
7,000037.jpg,,,,,,,,,,,,,,,,,,,,,stapler
7,000037.jpg,,,,,,,,,,,,,,,,,,,,,needle
7,000037.jpg,,,,,,,,,,,,,,,,,,,,,holder
7,000037.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
7,000037.jpg,1,1,491,351,0.9977427,,,,,,,,,,,,,,,,background
8,000043.jpg,,,,,,,,,,,,,,,,,,,,,grasper
8,000043.jpg,,,,,,,,,,,,,,,,,,,,,stapler
8,000043.jpg,,,,,,,,,,,,,,,,,,,,,needle
8,000043.jpg,,,,,,,,,,,,,,,,,,,,,holder
8,000043.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
8,000043.jpg,4.744961,1,491,351,0.9850581,,,,,,,,,,,,,,,,background
9,000049.jpg,,,,,,,,,,,,,,,,,,,,,grasper
9,000049.jpg,,,,,,,,,,,,,,,,,,,,,stapler
9,000049.jpg,,,,,,,,,,,,,,,,,,,,,needle
9,000049.jpg,,,,,,,,,,,,,,,,,,,,,holder
9,000049.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
9,000049.jpg,1,1,491,351,0.9999857,,,,,,,,,,,,,,,,background
10,000055.jpg,,,,,,,,,,,,,,,,,,,,,grasper
10,000055.jpg,,,,,,,,,,,,,,,,,,,,,stapler
10,000055.jpg,,,,,,,,,,,,,,,,,,,,,needle
10,000055.jpg,,,,,,,,,,,,,,,,,,,,,holder
10,000055.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
10,000055.jpg,1,1,470.7923,351,0.997276,,,,,,,,,,,,,,,,background
11,000061.jpg,,,,,,,,,,,,,,,,,,,,,grasper
11,000061.jpg,,,,,,,,,,,,,,,,,,,,,stapler
11,000061.jpg,,,,,,,,,,,,,,,,,,,,,needle
11,000061.jpg,,,,,,,,,,,,,,,,,,,,,holder
11,000061.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
11,000061.jpg,1,1,491,341.8043,0.9999863,,,,,,,,,,,,,,,,background
12,000067.jpg,,,,,,,,,,,,,,,,,,,,,grasper
12,000067.jpg,,,,,,,,,,,,,,,,,,,,,stapler
12,000067.jpg,,,,,,,,,,,,,,,,,,,,,needle
12,000067.jpg,,,,,,,,,,,,,,,,,,,,,holder
12,000067.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
12,000067.jpg,8.636106,1,468.1196,345.8869,0.9998203,,,,,,,,,,,,,,,,background
13,000073.jpg,,,,,,,,,,,,,,,,,,,,,grasper
13,000073.jpg,,,,,,,,,,,,,,,,,,,,,stapler
13,000073.jpg,,,,,,,,,,,,,,,,,,,,,needle
13,000073.jpg,,,,,,,,,,,,,,,,,,,,,holder
13,000073.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
13,000073.jpg,1,1,491,351,0.9992064,,,,,,,,,,,,,,,,background
14,000079.jpg,,,,,,,,,,,,,,,,,,,,,grasper
14,000079.jpg,,,,,,,,,,,,,,,,,,,,,stapler
14,000079.jpg,,,,,,,,,,,,,,,,,,,,,needle
14,000079.jpg,,,,,,,,,,,,,,,,,,,,,holder
14,000079.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
14,000079.jpg,1,1,491,340.3208,0.9152781,,,,,,,,,,,,,,,,background
15,000085.jpg,226.0235,147.4736,356.6623,343.2386,0.9999957,,,,,,,,,,,,,,,,grasper
15,000085.jpg,,,,,,,,,,,,,,,,,,,,,stapler
15,000085.jpg,,,,,,,,,,,,,,,,,,,,,needle
15,000085.jpg,,,,,,,,,,,,,,,,,,,,,holder
15,000085.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
15,000085.jpg,,,,,,,,,,,,,,,,,,,,,background
16,000091.jpg,201.5697,318.6012,167.4093,248.121,307.0827,398.2237,341.4355,334.9561,0.9997184,0.9445048,,,,,,,,,,,grasper
16,000091.jpg,,,,,,,,,,,,,,,,,,,,,stapler
16,000091.jpg,,,,,,,,,,,,,,,,,,,,,needle
16,000091.jpg,,,,,,,,,,,,,,,,,,,,,holder
16,000091.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
16,000091.jpg,,,,,,,,,,,,,,,,,,,,,background
17,000097.jpg,210.4702,112.7924,380.1063,266.2837,0.9999944,,,,,,,,,,,,,,,,grasper
17,000097.jpg,,,,,,,,,,,,,,,,,,,,,stapler
17,000097.jpg,,,,,,,,,,,,,,,,,,,,,needle
17,000097.jpg,,,,,,,,,,,,,,,,,,,,,holder
17,000097.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
17,000097.jpg,,,,,,,,,,,,,,,,,,,,,background
18,000103.jpg,195.1642,157.9827,328.0459,300.0318,0.9992965,,,,,,,,,,,,,,,,grasper
18,000103.jpg,,,,,,,,,,,,,,,,,,,,,stapler
18,000103.jpg,,,,,,,,,,,,,,,,,,,,,needle
18,000103.jpg,,,,,,,,,,,,,,,,,,,,,holder
18,000103.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
18,000103.jpg,,,,,,,,,,,,,,,,,,,,,background
19,000109.jpg,137.3169,190.8793,313.6587,334.5677,0.9999981,,,,,,,,,,,,,,,,grasper
19,000109.jpg,,,,,,,,,,,,,,,,,,,,,stapler
19,000109.jpg,,,,,,,,,,,,,,,,,,,,,needle
19,000109.jpg,,,,,,,,,,,,,,,,,,,,,holder
19,000109.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
19,000109.jpg,,,,,,,,,,,,,,,,,,,,,background
20,000115.jpg,175.4594,139.794,286.9915,320.9604,0.9998808,,,,,,,,,,,,,,,,grasper
20,000115.jpg,,,,,,,,,,,,,,,,,,,,,stapler
20,000115.jpg,,,,,,,,,,,,,,,,,,,,,needle
20,000115.jpg,,,,,,,,,,,,,,,,,,,,,holder
20,000115.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
20,000115.jpg,,,,,,,,,,,,,,,,,,,,,background
21,000121.jpg,159.2594,162.6361,288.1505,282.0636,0.9940687,,,,,,,,,,,,,,,,grasper
21,000121.jpg,,,,,,,,,,,,,,,,,,,,,stapler
21,000121.jpg,,,,,,,,,,,,,,,,,,,,,needle
21,000121.jpg,,,,,,,,,,,,,,,,,,,,,holder
21,000121.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
21,000121.jpg,,,,,,,,,,,,,,,,,,,,,background
22,000127.jpg,180.3328,111.2641,274.6436,228.0821,0.9999477,,,,,,,,,,,,,,,,grasper
22,000127.jpg,,,,,,,,,,,,,,,,,,,,,stapler
22,000127.jpg,,,,,,,,,,,,,,,,,,,,,needle
22,000127.jpg,,,,,,,,,,,,,,,,,,,,,holder
22,000127.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
22,000127.jpg,,,,,,,,,,,,,,,,,,,,,background
23,000133.jpg,154.0484,11.01829,238.0235,124.9307,0.9999734,,,,,,,,,,,,,,,,grasper
23,000133.jpg,,,,,,,,,,,,,,,,,,,,,stapler
23,000133.jpg,,,,,,,,,,,,,,,,,,,,,needle
23,000133.jpg,,,,,,,,,,,,,,,,,,,,,holder
23,000133.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
23,000133.jpg,,,,,,,,,,,,,,,,,,,,,background
24,000139.jpg,146.3121,3.31827,193.3433,72.68979,0.9991999,,,,,,,,,,,,,,,,grasper
24,000139.jpg,,,,,,,,,,,,,,,,,,,,,stapler
24,000139.jpg,,,,,,,,,,,,,,,,,,,,,needle
24,000139.jpg,,,,,,,,,,,,,,,,,,,,,holder
24,000139.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
24,000139.jpg,108.8512,1,491,315.4163,0.6946909,,,,,,,,,,,,,,,,background
25,000145.jpg,179.7905,10.97566,232.5133,103.337,0.9999716,,,,,,,,,,,,,,,,grasper
25,000145.jpg,,,,,,,,,,,,,,,,,,,,,stapler
25,000145.jpg,,,,,,,,,,,,,,,,,,,,,needle
25,000145.jpg,,,,,,,,,,,,,,,,,,,,,holder
25,000145.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
25,000145.jpg,,,,,,,,,,,,,,,,,,,,,background
26,000151.jpg,253.8425,27.59612,312.7121,140.4142,0.9999833,,,,,,,,,,,,,,,,grasper
26,000151.jpg,,,,,,,,,,,,,,,,,,,,,stapler
26,000151.jpg,,,,,,,,,,,,,,,,,,,,,needle
26,000151.jpg,,,,,,,,,,,,,,,,,,,,,holder
26,000151.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
26,000151.jpg,,,,,,,,,,,,,,,,,,,,,background
27,000157.jpg,295.2717,37.95156,363.8372,178.7258,0.9999732,,,,,,,,,,,,,,,,grasper
27,000157.jpg,,,,,,,,,,,,,,,,,,,,,stapler
27,000157.jpg,,,,,,,,,,,,,,,,,,,,,needle
27,000157.jpg,,,,,,,,,,,,,,,,,,,,,holder
27,000157.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
27,000157.jpg,,,,,,,,,,,,,,,,,,,,,background
28,000163.jpg,285.4836,55.95256,352.4148,177.8466,0.9999669,,,,,,,,,,,,,,,,grasper
28,000163.jpg,,,,,,,,,,,,,,,,,,,,,stapler
28,000163.jpg,,,,,,,,,,,,,,,,,,,,,needle
28,000163.jpg,,,,,,,,,,,,,,,,,,,,,holder
28,000163.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
28,000163.jpg,,,,,,,,,,,,,,,,,,,,,background
29,000169.jpg,282.5728,63.01421,341.1324,180.3687,0.9999644,,,,,,,,,,,,,,,,grasper
29,000169.jpg,,,,,,,,,,,,,,,,,,,,,stapler
29,000169.jpg,,,,,,,,,,,,,,,,,,,,,needle
29,000169.jpg,,,,,,,,,,,,,,,,,,,,,holder
29,000169.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
29,000169.jpg,,,,,,,,,,,,,,,,,,,,,background
30,000175.jpg,271.5957,46.82844,336.4255,167.5528,0.9999431,,,,,,,,,,,,,,,,grasper
30,000175.jpg,,,,,,,,,,,,,,,,,,,,,stapler
30,000175.jpg,,,,,,,,,,,,,,,,,,,,,needle
30,000175.jpg,,,,,,,,,,,,,,,,,,,,,holder
30,000175.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
30,000175.jpg,,,,,,,,,,,,,,,,,,,,,background
31,000181.jpg,286.9693,13.94221,29.32372,246.95,363.9971,77.52089,152.4632,317.3212,0.9999765,0.7816275,,,,,,,,,,,grasper
31,000181.jpg,,,,,,,,,,,,,,,,,,,,,stapler
31,000181.jpg,,,,,,,,,,,,,,,,,,,,,needle
31,000181.jpg,,,,,,,,,,,,,,,,,,,,,holder
31,000181.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
31,000181.jpg,,,,,,,,,,,,,,,,,,,,,background
32,000187.jpg,,,,,,,,,,,,,,,,,,,,,grasper
32,000187.jpg,,,,,,,,,,,,,,,,,,,,,stapler
32,000187.jpg,,,,,,,,,,,,,,,,,,,,,needle
32,000187.jpg,,,,,,,,,,,,,,,,,,,,,holder
32,000187.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
32,000187.jpg,,,,,,,,,,,,,,,,,,,,,background
33,000193.jpg,316.7397,100.2039,416.5803,334.5135,0.9999645,,,,,,,,,,,,,,,,grasper
33,000193.jpg,,,,,,,,,,,,,,,,,,,,,stapler
33,000193.jpg,,,,,,,,,,,,,,,,,,,,,needle
33,000193.jpg,,,,,,,,,,,,,,,,,,,,,holder
33,000193.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
33,000193.jpg,,,,,,,,,,,,,,,,,,,,,background
34,000199.jpg,57.73724,211.6942,165.6749,270.6308,0.9593136,,,,,,,,,,,,,,,,grasper
34,000199.jpg,,,,,,,,,,,,,,,,,,,,,stapler
34,000199.jpg,,,,,,,,,,,,,,,,,,,,,needle
34,000199.jpg,,,,,,,,,,,,,,,,,,,,,holder
34,000199.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
34,000199.jpg,,,,,,,,,,,,,,,,,,,,,background
35,000205.jpg,248.8521,87.17294,342.04,313.2486,0.9990212,,,,,,,,,,,,,,,,grasper
35,000205.jpg,,,,,,,,,,,,,,,,,,,,,stapler
35,000205.jpg,,,,,,,,,,,,,,,,,,,,,needle
35,000205.jpg,,,,,,,,,,,,,,,,,,,,,holder
35,000205.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
35,000205.jpg,,,,,,,,,,,,,,,,,,,,,background
36,000211.jpg,181.2372,163.7555,277.4854,339.6216,0.9994619,,,,,,,,,,,,,,,,grasper
36,000211.jpg,,,,,,,,,,,,,,,,,,,,,stapler
36,000211.jpg,,,,,,,,,,,,,,,,,,,,,needle
36,000211.jpg,,,,,,,,,,,,,,,,,,,,,holder
36,000211.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
36,000211.jpg,,,,,,,,,,,,,,,,,,,,,background
37,000217.jpg,161.914,198.819,258.7313,340.4042,0.9999529,,,,,,,,,,,,,,,,grasper
37,000217.jpg,,,,,,,,,,,,,,,,,,,,,stapler
37,000217.jpg,,,,,,,,,,,,,,,,,,,,,needle
37,000217.jpg,,,,,,,,,,,,,,,,,,,,,holder
37,000217.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
37,000217.jpg,,,,,,,,,,,,,,,,,,,,,background
38,000223.jpg,173.3929,199.5715,233.9521,332.2301,0.9998579,,,,,,,,,,,,,,,,grasper
38,000223.jpg,,,,,,,,,,,,,,,,,,,,,stapler
38,000223.jpg,,,,,,,,,,,,,,,,,,,,,needle
38,000223.jpg,,,,,,,,,,,,,,,,,,,,,holder
38,000223.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
38,000223.jpg,82.34398,1,491,351,0.6513432,,,,,,,,,,,,,,,,background
39,000229.jpg,100.7166,203.1387,168.5021,331.9722,0.9999954,,,,,,,,,,,,,,,,grasper
39,000229.jpg,,,,,,,,,,,,,,,,,,,,,stapler
39,000229.jpg,,,,,,,,,,,,,,,,,,,,,needle
39,000229.jpg,,,,,,,,,,,,,,,,,,,,,holder
39,000229.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
39,000229.jpg,,,,,,,,,,,,,,,,,,,,,background
40,000235.jpg,,,,,,,,,,,,,,,,,,,,,grasper
40,000235.jpg,,,,,,,,,,,,,,,,,,,,,stapler
40,000235.jpg,,,,,,,,,,,,,,,,,,,,,needle
40,000235.jpg,,,,,,,,,,,,,,,,,,,,,holder
40,000235.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
40,000235.jpg,13.63543,1,491,351,0.9999788,,,,,,,,,,,,,,,,background
41,000241.jpg,,,,,,,,,,,,,,,,,,,,,grasper
41,000241.jpg,,,,,,,,,,,,,,,,,,,,,stapler
41,000241.jpg,,,,,,,,,,,,,,,,,,,,,needle
41,000241.jpg,,,,,,,,,,,,,,,,,,,,,holder
41,000241.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
41,000241.jpg,4.741858,13.11408,491,351,0.999998,,,,,,,,,,,,,,,,background
42,000247.jpg,,,,,,,,,,,,,,,,,,,,,grasper
42,000247.jpg,,,,,,,,,,,,,,,,,,,,,stapler
42,000247.jpg,,,,,,,,,,,,,,,,,,,,,needle
42,000247.jpg,,,,,,,,,,,,,,,,,,,,,holder
42,000247.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
42,000247.jpg,9.585278,1,469.3091,351,0.9999774,,,,,,,,,,,,,,,,background
43,000253.jpg,,,,,,,,,,,,,,,,,,,,,grasper
43,000253.jpg,,,,,,,,,,,,,,,,,,,,,stapler
43,000253.jpg,,,,,,,,,,,,,,,,,,,,,needle
43,000253.jpg,,,,,,,,,,,,,,,,,,,,,holder
43,000253.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
43,000253.jpg,1,1,491,351,0.9999957,,,,,,,,,,,,,,,,background
44,000259.jpg,95.69745,103.9499,197.745,268.8423,0.9999779,,,,,,,,,,,,,,,,grasper
44,000259.jpg,,,,,,,,,,,,,,,,,,,,,stapler
44,000259.jpg,,,,,,,,,,,,,,,,,,,,,needle
44,000259.jpg,,,,,,,,,,,,,,,,,,,,,holder
44,000259.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
44,000259.jpg,166.0272,1,491,351,0.9804589,,,,,,,,,,,,,,,,background
45,000265.jpg,124.4739,86.53616,203.1944,223.0319,0.9999989,,,,,,,,,,,,,,,,grasper
45,000265.jpg,,,,,,,,,,,,,,,,,,,,,stapler
45,000265.jpg,,,,,,,,,,,,,,,,,,,,,needle
45,000265.jpg,,,,,,,,,,,,,,,,,,,,,holder
45,000265.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
45,000265.jpg,94.08497,1,491,351,0.8895211,,,,,,,,,,,,,,,,background
46,000271.jpg,,,,,,,,,,,,,,,,,,,,,grasper
46,000271.jpg,,,,,,,,,,,,,,,,,,,,,stapler
46,000271.jpg,,,,,,,,,,,,,,,,,,,,,needle
46,000271.jpg,,,,,,,,,,,,,,,,,,,,,holder
46,000271.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
46,000271.jpg,1,1,491,343.579,0.9999979,,,,,,,,,,,,,,,,background
47,000277.jpg,,,,,,,,,,,,,,,,,,,,,grasper
47,000277.jpg,,,,,,,,,,,,,,,,,,,,,stapler
47,000277.jpg,,,,,,,,,,,,,,,,,,,,,needle
47,000277.jpg,,,,,,,,,,,,,,,,,,,,,holder
47,000277.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
47,000277.jpg,1,3.954219,491,351,1,,,,,,,,,,,,,,,,background
48,000283.jpg,,,,,,,,,,,,,,,,,,,,,grasper
48,000283.jpg,,,,,,,,,,,,,,,,,,,,,stapler
48,000283.jpg,,,,,,,,,,,,,,,,,,,,,needle
48,000283.jpg,,,,,,,,,,,,,,,,,,,,,holder
48,000283.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
48,000283.jpg,1,1,491,348.8578,0.9999999,,,,,,,,,,,,,,,,background
49,000289.jpg,9.121599,148.6682,115.6384,343.0596,0.9999788,,,,,,,,,,,,,,,,grasper
49,000289.jpg,,,,,,,,,,,,,,,,,,,,,stapler
49,000289.jpg,,,,,,,,,,,,,,,,,,,,,needle
49,000289.jpg,,,,,,,,,,,,,,,,,,,,,holder
49,000289.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
49,000289.jpg,77.63295,1,491,347.927,0.9993777,,,,,,,,,,,,,,,,background
50,000295.jpg,179.7535,149.8595,254.8669,332.1931,0.9999566,,,,,,,,,,,,,,,,grasper
50,000295.jpg,,,,,,,,,,,,,,,,,,,,,stapler
50,000295.jpg,,,,,,,,,,,,,,,,,,,,,needle
50,000295.jpg,,,,,,,,,,,,,,,,,,,,,holder
50,000295.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
50,000295.jpg,124.1987,1,491,351,0.9379465,,,,,,,,,,,,,,,,background
51,000301.jpg,254.9791,122.3822,336.9172,308.1819,0.9999896,,,,,,,,,,,,,,,,grasper
51,000301.jpg,,,,,,,,,,,,,,,,,,,,,stapler
51,000301.jpg,,,,,,,,,,,,,,,,,,,,,needle
51,000301.jpg,,,,,,,,,,,,,,,,,,,,,holder
51,000301.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
51,000301.jpg,,,,,,,,,,,,,,,,,,,,,background
52,000307.jpg,338.5263,132.7758,428.6723,331.4628,0.9795135,,,,,,,,,,,,,,,,grasper
52,000307.jpg,,,,,,,,,,,,,,,,,,,,,stapler
52,000307.jpg,,,,,,,,,,,,,,,,,,,,,needle
52,000307.jpg,,,,,,,,,,,,,,,,,,,,,holder
52,000307.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
52,000307.jpg,2.033357,1.606167,480.7262,351,0.8714978,,,,,,,,,,,,,,,,background
53,000313.jpg,330.7455,144.4538,485.303,331.6987,0.9999516,,,,,,,,,,,,,,,,grasper
53,000313.jpg,,,,,,,,,,,,,,,,,,,,,stapler
53,000313.jpg,,,,,,,,,,,,,,,,,,,,,needle
53,000313.jpg,,,,,,,,,,,,,,,,,,,,,holder
53,000313.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
53,000313.jpg,,,,,,,,,,,,,,,,,,,,,background
54,000319.jpg,296.9394,167.7792,442.3828,344.5609,0.9999865,,,,,,,,,,,,,,,,grasper
54,000319.jpg,,,,,,,,,,,,,,,,,,,,,stapler
54,000319.jpg,,,,,,,,,,,,,,,,,,,,,needle
54,000319.jpg,,,,,,,,,,,,,,,,,,,,,holder
54,000319.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
54,000319.jpg,,,,,,,,,,,,,,,,,,,,,background
55,000325.jpg,273.5497,165.1689,422.0654,328.3203,0.999999,,,,,,,,,,,,,,,,grasper
55,000325.jpg,,,,,,,,,,,,,,,,,,,,,stapler
55,000325.jpg,,,,,,,,,,,,,,,,,,,,,needle
55,000325.jpg,,,,,,,,,,,,,,,,,,,,,holder
55,000325.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
55,000325.jpg,,,,,,,,,,,,,,,,,,,,,background
56,000331.jpg,300.6845,134.9061,415.2985,315.9242,0.9999044,,,,,,,,,,,,,,,,grasper
56,000331.jpg,,,,,,,,,,,,,,,,,,,,,stapler
56,000331.jpg,,,,,,,,,,,,,,,,,,,,,needle
56,000331.jpg,,,,,,,,,,,,,,,,,,,,,holder
56,000331.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
56,000331.jpg,,,,,,,,,,,,,,,,,,,,,background
57,000337.jpg,233.3018,105.2755,312.9648,271.5579,0.9999988,,,,,,,,,,,,,,,,grasper
57,000337.jpg,,,,,,,,,,,,,,,,,,,,,stapler
57,000337.jpg,,,,,,,,,,,,,,,,,,,,,needle
57,000337.jpg,,,,,,,,,,,,,,,,,,,,,holder
57,000337.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
57,000337.jpg,,,,,,,,,,,,,,,,,,,,,background
58,000343.jpg,155.2706,81.19567,235.1971,271.7271,0.9999663,,,,,,,,,,,,,,,,grasper
58,000343.jpg,,,,,,,,,,,,,,,,,,,,,stapler
58,000343.jpg,,,,,,,,,,,,,,,,,,,,,needle
58,000343.jpg,,,,,,,,,,,,,,,,,,,,,holder
58,000343.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
58,000343.jpg,,,,,,,,,,,,,,,,,,,,,background
59,000349.jpg,93.20932,106.5898,175.8191,340.1094,0.9997427,,,,,,,,,,,,,,,,grasper
59,000349.jpg,,,,,,,,,,,,,,,,,,,,,stapler
59,000349.jpg,,,,,,,,,,,,,,,,,,,,,needle
59,000349.jpg,,,,,,,,,,,,,,,,,,,,,holder
59,000349.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
59,000349.jpg,106.1222,1,491,351,0.9218392,,,,,,,,,,,,,,,,background
60,000355.jpg,127.9422,43.35612,213.4814,344.4221,0.9973776,,,,,,,,,,,,,,,,grasper
60,000355.jpg,,,,,,,,,,,,,,,,,,,,,stapler
60,000355.jpg,,,,,,,,,,,,,,,,,,,,,needle
60,000355.jpg,,,,,,,,,,,,,,,,,,,,,holder
60,000355.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
60,000355.jpg,106.156,1,491,350.2431,0.619638,,,,,,,,,,,,,,,,background
61,000361.jpg,148.1943,64.19143,244.3316,291.1953,0.9999698,,,,,,,,,,,,,,,,grasper
61,000361.jpg,,,,,,,,,,,,,,,,,,,,,stapler
61,000361.jpg,,,,,,,,,,,,,,,,,,,,,needle
61,000361.jpg,,,,,,,,,,,,,,,,,,,,,holder
61,000361.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
61,000361.jpg,,,,,,,,,,,,,,,,,,,,,background
62,000367.jpg,181.5242,209.2498,391.8663,336.8376,0.9971116,,,,,,,,,,,,,,,,grasper
62,000367.jpg,,,,,,,,,,,,,,,,,,,,,stapler
62,000367.jpg,,,,,,,,,,,,,,,,,,,,,needle
62,000367.jpg,,,,,,,,,,,,,,,,,,,,,holder
62,000367.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
62,000367.jpg,,,,,,,,,,,,,,,,,,,,,background
63,000373.jpg,229.8365,203.9639,467.0949,332.837,0.9999728,,,,,,,,,,,,,,,,grasper
63,000373.jpg,,,,,,,,,,,,,,,,,,,,,stapler
63,000373.jpg,,,,,,,,,,,,,,,,,,,,,needle
63,000373.jpg,,,,,,,,,,,,,,,,,,,,,holder
63,000373.jpg,,,,,,,,,,,,,,,,,,,,,stitcher
63,000373.jpg,,,,,,,,,,,,,,,,,,,,,background
64,000379.jpg,262.8108,161.4547,403.4699,340.7428,0.9999181,,,,,,,,,,,,,,,,grasper
64,000379.jpg,,,,,,,,,,,,,,,,,,,,,stapler
64,000379.jpg,,,,,,,,,,,,,,,,,,,,,needle
