seq,frame,coord_ 1,coord_ 2,coord_ 3,coord_ 4,coord_ 5,coord_ 6,coord_ 7,coord_ 8,coord_ 9,coord_10,coord_11,coord_12,coord_13,coord_14,coord_15,class
67,000397.jpg,,,,,,,,,,,,,,,,background
68,000403.jpg,,,,,,,,,,,,,,,,grasper
68,000403.jpg,,,,,,,,,,,,,,,,stapler
68,000403.jpg,,,,,,,,,,,,,,,,needle
68,000403.jpg,,,,,,,,,,,,,,,,holder
68,000403.jpg,,,,,,,,,,,,,,,,stitcher
68,000403.jpg,,,,,,,,,,,,,,,,background
69,000409.jpg,,,,,,,,,,,,,,,,grasper
69,000409.jpg,,,,,,,,,,,,,,,,stapler
69,000409.jpg,,,,,,,,,,,,,,,,needle
69,000409.jpg,,,,,,,,,,,,,,,,holder
69,000409.jpg,,,,,,,,,,,,,,,,stitcher
69,000409.jpg,1,1,491,350.3528,0.9999816,,,,,,,,,,,background
70,000415.jpg,225.7121,243.1141,378.5327,328.1806,0.9512498,,,,,,,,,,,grasper
70,000415.jpg,,,,,,,,,,,,,,,,stapler
70,000415.jpg,,,,,,,,,,,,,,,,needle
70,000415.jpg,,,,,,,,,,,,,,,,holder
70,000415.jpg,,,,,,,,,,,,,,,,stitcher
70,000415.jpg,,,,,,,,,,,,,,,,background
71,000421.jpg,231.1163,265.0118,341.8862,342.0003,0.9999628,,,,,,,,,,,grasper
71,000421.jpg,,,,,,,,,,,,,,,,stapler
71,000421.jpg,,,,,,,,,,,,,,,,needle
71,000421.jpg,,,,,,,,,,,,,,,,holder
71,000421.jpg,,,,,,,,,,,,,,,,stitcher
71,000421.jpg,1,1.835356,491,343.5177,0.9995369,,,,,,,,,,,background
